订单号,交易流水号,刷卡时间,交易金额(元),线路号,车辆编号,票价(元)
U17C01040201802261849360089,184936211669,2018/2/26 18:49:36,1.00,19,3094,2.00
U17A00429201802261849362434,184937208588,2018/2/26 18:49:36,2.00,36,1464,2.00
U17B00550201802261849367278,184936210501,2018/2/26 18:49:36,2.00,807,2433,2.00
U17B00604201802261849365434,184936207986,2018/2/26 18:49:36,2.00,100,1808,2.00
U17C01393201802261849360101,184937211279,2018/2/26 18:49:36,0.01,71,3035,2.00
U17B00550201802261849379604,184938213204,2018/2/26 18:49:37,2.00,807,2433,2.00
U17B00650201802261849370400,184937207791,2018/2/26 18:49:37,1.00,12,1106,1.00
U17B00759201802261849364628,184938209536,2018/2/26 18:49:36,2.00,58,1431,2.00
U17C01386201802261849371004,184937207394,2018/2/26 18:49:37,2.00,71,3033,2.00
U17A00487201802261849385468,184939212431,2018/2/26 18:49:38,2.00,39,1452,2.00
U17B00535201802261849381816,184939210320,2018/2/26 18:49:38,2.00,4,1615,2.00
